Review,Cleaned_Review,Sentiment
This product is amazing,product amazing,Positive
I love this phone,love phone,Positive
Wrost product ever,wrost product ever,Neutral
Very bad quality,bad quality,Negative
Excellent service,excellent service,Positive
Mot wrost the money,mot wrost money,Neutral
Average product,average product,Negative
Fast delivery and good packaging,fast delivery good packaging,Positive
I am disappointed,disappointed,Negative
Highly recommended,highly recommended,Positive
